"geo_id","year","nights","population","nights_per_1000pop","ln_nights_per_1000pop","gdp_pc","ln_gdp_pc","pop_density","ln_pop_density","comp_employees","wage_per_capita","ln_wage_per_capita","tertiary_edu","coast","area_km2","unesco_count"
"DEA1",2022,10812527,5197679,2080.26063171658,7.6402484685554,48600,10.7913788098886,1007.8,6.9155250162465,136424.14,0.0262471268425772,-3.64019874955109,28.7,0,5285.70064110313,1
"DEA1",2023,12736241,5222540,2438.70626170408,7.79922295705751,50700,10.8336811895793,1011.7,6.91938736321184,145543.68,0.0278683705629828,-3.5802629048242,29.3,0,5285.70064110313,1
"DEA2",2017,13579080,4439416,3058.75367390666,8.0257628158699,42500,10.6572593549125,609.7,6.41296703291377,97746.37,0.022017844238972,-3.81590205261765,30.3,0,7342.1730236635,3
"DEA2",2018,13582066,4454228,3049.25253040482,8.02265176756799,44200,10.6964800680658,611.8,6.4164054317168,102751.39,0.0230682825396455,-3.7692966551834,30.5,0,7342.1730236635,3
"DEA2",2019,14196715,4468904,3176.77779607707,8.06362269039356,44900,10.7121930737303,613.4,6.41901725168015,107530.44,0.0240619265931871,-3.7271244971116,30.9,0,7342.1730236635,3
"DEA2",2020,6478432,4478847,1446.45083879847,7.2768681375258,43800,10.6873890963645,613.4,6.41901725168015,107265.14,0.0239492753380502,-3.73181721286689,32.2,0,7342.1730236635,3
"DEA2",2021,6814105,4475530,1522.52470657107,7.32812522708527,46200,10.7407350770698,613.9,6.41983204843345,110736.51,0.024742658411406,-3.69922646381295,34.8,0,7342.1730236635,3
"DEA2",2022,12304379,4472956,2750.83837176131,7.91966100665816,49500,10.8097279485568,612.5,6.41754894241888,117220.22,0.026206432614137,-3.64175037872654,34.4,0,7342.1730236635,3
"DEA2",2023,13834269,4461422,3100.86537431339,8.03943650452161,51600,10.8512769514697,612.9,6.41820179049169,125035.63,0.0280259589879639,-3.57462409159192,37,0,7342.1730236635,3
"DEA3",2017,3948279,2619376,1507.33571659815,7.31809894528188,33600,10.4222813459513,379.6,5.93911806673577,46112.12,0.0176042385667426,-4.03961557827653,23.8,0,6947.50918191962,0
